implementation,m,n,k,repeat,warmup,iterations,reference_checked,status,returncode,wall_time_sec,log,runtime_ms,tflops,max_abs_diff,input_a_hash,input_b_hash,output_hash,output_sum,output_abs_sum,output_sq_sum
official_cutlass,256,256,256,0,10,50,True,success,0,0.354,/sxs/cutlass-autopartitioner-3090/results/autopartitioner_3090_20260715_0525/run_logs/official_cutlass_m256_r1.log,0.00690176,4.86172,1.43051e-06,13677597478156048699,3347860711945326574,13048750728423755127,27.0532,17341.7,7212.28
v00,256,256,256,0,10,50,True,success,0,0.286,/sxs/cutlass-autopartitioner-3090/results/autopartitioner_3090_20260715_0525/run_logs/v00_m256_r1.log,0.00712704,4.70805,1.78814e-06,,,,,,
v01,256,256,256,0,10,50,True,success,0,0.3,/sxs/cutlass-autopartitioner-3090/results/autopartitioner_3090_20260715_0525/run_logs/v01_m256_r1.log,0.00622592,5.38947,1.78814e-06,,,,,,
v02,256,256,256,0,10,50,True,success,0,0.272,/sxs/cutlass-autopartitioner-3090/results/autopartitioner_3090_20260715_0525/run_logs/v02_m256_r1.log,0.00618496,5.42517,1.78814e-06,,,,,,
v03,256,256,256,0,10,50,True,success,0,0.291,/sxs/cutlass-autopartitioner-3090/results/autopartitioner_3090_20260715_0525/run_logs/v03_m256_r1.log,0.00611712,5.48533,1.78814e-06,,,,,,
v04,256,256,256,0,10,50,True,success,0,0.305,/sxs/cutlass-autopartitioner-3090/results/autopartitioner_3090_20260715_0525/run_logs/v04_m256_r1.log,0.00615936,5.44771,1.78814e-06,,,,,,
v05,256,256,256,0,10,50,True,success,0,0.288,/sxs/cutlass-autopartitioner-3090/results/autopartitioner_3090_20260715_0525/run_logs/v05_m256_r1.log,0.00618496,5.42517,1.78814e-06,,,,,,
v06,256,256,256,0,10,50,True,success,0,0.275,/sxs/cutlass-autopartitioner-3090/results/autopartitioner_3090_20260715_0525/run_logs/v06_m256_r1.log,0.00616192,5.44545,1.78814e-06,,,,,,
v07,256,256,256,0,10,50,True,success,0,0.265,/sxs/cutlass-autopartitioner-3090/results/autopartitioner_3090_20260715_0525/run_logs/v07_m256_r1.log,0.00667648,5.02577,1.78814e-06,,,,,,
v08,256,256,256,0,10,50,True,success,0,0.279,/sxs/cutlass-autopartitioner-3090/results/autopartitioner_3090_20260715_0525/run_logs/v08_m256_r1.log,0.00609984,5.50087,1.43051e-06,13677597478156048699,3347860711945326574,13048750728423755127,27.0532,17341.7,7212.28
latest,256,256,256,0,10,50,True,success,0,0.276,/sxs/cutlass-autopartitioner-3090/results/autopartitioner_3090_20260715_0525/run_logs/latest_m256_r1.log,0.00603648,5.55861,1.43051e-06,13677597478156048699,3347860711945326574,13048750728423755127,27.0532,17341.7,7212.28
latest,256,256,256,1,10,50,True,success,0,0.328,/sxs/cutlass-autopartitioner-3090/results/autopartitioner_3090_20260715_0525/run_logs/latest_m256_r2.log,0.00608256,5.5165,1.43051e-06,13677597478156048699,3347860711945326574,13048750728423755127,27.0532,17341.7,7212.28
v08,256,256,256,1,10,50,True,success,0,0.27,/sxs/cutlass-autopartitioner-3090/results/autopartitioner_3090_20260715_0525/run_logs/v08_m256_r2.log,0.00608832,5.51128,1.43051e-06,13677597478156048699,3347860711945326574,13048750728423755127,27.0532,17341.7,7212.28
v07,256,256,256,1,10,50,True,success,0,0.313,/sxs/cutlass-autopartitioner-3090/results/autopartitioner_3090_20260715_0525/run_logs/v07_m256_r2.log,0.00606208,5.53513,1.78814e-06,,,,,,
v06,256,256,256,1,10,50,True,success,0,0.292,/sxs/cutlass-autopartitioner-3090/results/autopartitioner_3090_20260715_0525/run_logs/v06_m256_r2.log,0.0061824,5.42741,1.78814e-06,,,,,,
v05,256,256,256,1,10,50,True,success,0,0.282,/sxs/cutlass-autopartitioner-3090/results/autopartitioner_3090_20260715_0525/run_logs/v05_m256_r2.log,0.00687808,4.87846,1.78814e-06,,,,,,
v04,256,256,256,1,10,50,True,success,0,0.325,/sxs/cutlass-autopartitioner-3090/results/autopartitioner_3090_20260715_0525/run_logs/v04_m256_r2.log,0.00698368,4.80469,1.78814e-06,,,,,,
v03,256,256,256,1,10,50,True,success,0,0.32,/sxs/cutlass-autopartitioner-3090/results/autopartitioner_3090_20260715_0525/run_logs/v03_m256_r2.log,0.0068608,4.89075,1.78814e-06,,,,,,
v02,256,256,256,1,10,50,True,success,0,0.308,/sxs/cutlass-autopartitioner-3090/results/autopartitioner_3090_20260715_0525/run_logs/v02_m256_r2.log,0.0069632,4.81882,1.78814e-06,,,,,,
v01,256,256,256,1,10,50,True,success,0,0.293,/sxs/cutlass-autopartitioner-3090/results/autopartitioner_3090_20260715_0525/run_logs/v01_m256_r2.log,0.00616128,5.44602,1.78814e-06,,,,,,
v00,256,256,256,1,10,50,True,success,0,0.327,/sxs/cutlass-autopartitioner-3090/results/autopartitioner_3090_20260715_0525/run_logs/v00_m256_r2.log,0.00628352,5.34007,1.78814e-06,,,,,,
official_cutlass,256,256,256,1,10,50,True,success,0,0.269,/sxs/cutlass-autopartitioner-3090/results/autopartitioner_3090_20260715_0525/run_logs/official_cutlass_m256_r2.log,0.00602112,5.57279,1.43051e-06,13677597478156048699,3347860711945326574,13048750728423755127,27.0532,17341.7,7212.28
official_cutlass,256,256,256,2,10,50,True,success,0,0.293,/sxs/cutlass-autopartitioner-3090/results/autopartitioner_3090_20260715_0525/run_logs/official_cutlass_m256_r3.log,0.0060416,5.5539,1.43051e-06,13677597478156048699,3347860711945326574,13048750728423755127,27.0532,17341.7,7212.28
v00,256,256,256,2,10,50,True,success,0,0.29,/sxs/cutlass-autopartitioner-3090/results/autopartitioner_3090_20260715_0525/run_logs/v00_m256_r3.log,0.00628736,5.33681,1.78814e-06,,,,,,
v01,256,256,256,2,10,50,True,success,0,0.296,/sxs/cutlass-autopartitioner-3090/results/autopartitioner_3090_20260715_0525/run_logs/v01_m256_r3.log,0.0060768,5.52173,1.78814e-06,,,,,,
v02,256,256,256,2,10,50,True,success,0,0.279,/sxs/cutlass-autopartitioner-3090/results/autopartitioner_3090_20260715_0525/run_logs/v02_m256_r3.log,0.00644736,5.20437,1.78814e-06,,,,,,
v03,256,256,256,2,10,50,True,success,0,0.309,/sxs/cutlass-autopartitioner-3090/results/autopartitioner_3090_20260715_0525/run_logs/v03_m256_r3.log,0.00598208,5.60916,1.78814e-06,,,,,,
v04,256,256,256,2,10,50,True,success,0,0.312,/sxs/cutlass-autopartitioner-3090/results/autopartitioner_3090_20260715_0525/run_logs/v04_m256_r3.log,0.00686592,4.8871,1.78814e-06,,,,,,
v05,256,256,256,2,10,50,True,success,0,0.311,/sxs/cutlass-autopartitioner-3090/results/autopartitioner_3090_20260715_0525/run_logs/v05_m256_r3.log,0.00690176,4.86172,1.78814e-06,,,,,,
v06,256,256,256,2,10,50,True,success,0,0.304,/sxs/cutlass-autopartitioner-3090/results/autopartitioner_3090_20260715_0525/run_logs/v06_m256_r3.log,0.00692224,4.84734,1.78814e-06,,,,,,
v07,256,256,256,2,10,50,True,success,0,0.316,/sxs/cutlass-autopartitioner-3090/results/autopartitioner_3090_20260715_0525/run_logs/v07_m256_r3.log,0.00679936,4.93494,1.78814e-06,,,,,,
v08,256,256,256,2,10,50,True,success,0,0.355,/sxs/cutlass-autopartitioner-3090/results/autopartitioner_3090_20260715_0525/run_logs/v08_m256_r3.log,0.00600064,5.59181,1.43051e-06,13677597478156048699,3347860711945326574,13048750728423755127,27.0532,17341.7,7212.28
latest,256,256,256,2,10,50,True,success,0,0.281,/sxs/cutlass-autopartitioner-3090/results/autopartitioner_3090_20260715_0525/run_logs/latest_m256_r3.log,0.00600256,5.59002,1.43051e-06,13677597478156048699,3347860711945326574,13048750728423755127,27.0532,17341.7,7212.28
latest,256,256,256,3,10,50,True,success,0,0.291,/sxs/cutlass-autopartitioner-3090/results/autopartitioner_3090_20260715_0525/run_logs/latest_m256_r4.log,0.005984,5.60736,1.43051e-06,13677597478156048699,3347860711945326574,13048750728423755127,27.0532,17341.7,7212.28
