implementation,size,runtime_ms,tflops,input_a_hash,input_b_hash,output_hash,runtime_samples_ms
autopartitioner,256,0.0061536,5.45281,13677597478156048699,3347860711945326574,12926916452234693495,"0.0061536,0.00623296,0.00613952,0.00616768,0.00612608"
official_cutlass,256,0.00415936,8.06721,13677597478156048699,3347860711945326574,12926916452234693495,"0.00418432,0.004144,0.00415936,0.00418368,0.00413312"
autopartitioner,512,0.00827392,32.4436,8929937084902417292,16353718496964745992,9727869141811068226,"0.00823808,0.00832704,0.00823488,0.00828672,0.00827392"
official_cutlass,512,0.010263,26.1556,8929937084902417292,16353718496964745992,9727869141811068226,"0.010263,0.0102451,0.0103654,0.0102445,0.0104646"
autopartitioner,1024,0.0575693,37.3026,5061416575482199112,11474437937127957548,7513846326217065522,"0.0631136,0.0539744,0.0575693,0.0609466,0.0538618"
official_cutlass,1024,0.0530093,40.5115,5061416575482199112,11474437937127957548,7513846326217065522,"0.0531437,0.0530093,0.0527789,0.0526547,0.0600806"
autopartitioner,2048,0.409569,41.9463,17698121313841696159,10559614117295400424,1205130231433204492,"0.41316,0.411974,0.409569,0.408975,0.408679"
official_cutlass,2048,0.404027,42.5216,17698121313841696159,10559614117295400424,1205130231433204492,"0.398912,0.403189,0.408288,0.411459,0.404027"
autopartitioner,4096,3.50622,39.1986,4385683333153854596,3928385288868267123,11748268076890895419,"3.50636,3.4586,3.50622,3.52682,3.45502"
official_cutlass,4096,3.45063,39.8301,4385683333153854596,3928385288868267123,11748268076890895419,"3.45063,3.44315,3.42557,3.47368,3.4724"
autopartitioner,8192,48.106,22.856,10473616633057481402,17485738975420865771,3774846614548034277,"47.9174,48.1103,47.8554,48.1139,48.106"
official_cutlass,8192,48.0344,22.8901,10473616633057481402,17485738975420865771,3774846614548034277,"48.0847,48.0344,48.253,47.9957,47.8557"
