arch,implementation,m,n,k,runtime_ms,tflops,max_abs_diff,input_a_hash,input_b_hash,output_sum,output_abs_sum,output_sq_sum,output_hash,runtime_samples_ms,tflops_samples
sm80,autopartitioner,256,256,256,0.0061472,5.45849,1.19209e-06,13677597478156048699,3347860711945326574,27.0532,17341.7,7212.28,12926916452234693495,"0.006112,0.0061792,0.0061472","5.48993,5.43022,5.45849"
sm80,official_cutlass,256,256,256,0.0043936,7.63712,1.19209e-06,13677597478156048699,3347860711945326574,27.0532,17341.7,7212.28,12926916452234693495,"0.0043936,0.0043488,0.0044896","7.63712,7.71579,7.47381"
sm80,autopartitioner,512,512,512,0.0084032,31.9444,2.86102e-06,8929937084902417292,16353718496964745992,-325.578,98608.6,58251.8,9727869141811068226,"0.0083808,0.0084032,0.0084352","32.0298,31.9444,31.8232"
sm80,official_cutlass,512,512,512,0.0105376,25.4741,2.86102e-06,8929937084902417292,16353718496964745992,-325.578,98608.6,58251.8,9727869141811068226,"0.0105696,0.0105376,0.010368","25.3969,25.4741,25.8908"
sm80,autopartitioner,1024,1024,1024,0.0545504,39.367,0.0,5061416575482199112,11474437937127957548,-172.636,558170.0,466687.0,7513846326217065522,"0.0545504,0.0545376,0.0548032","39.367,39.3762,39.1854"
sm80,official_cutlass,1024,1024,1024,0.0534528,40.1753,0.0,5061416575482199112,11474437937127957548,-172.636,558170.0,466687.0,7513846326217065522,"0.0534528,0.053584,0.0533504","40.1753,40.077,40.2524"
sm80,autopartitioner,2048,2048,2048,0.362304,47.4184,0.0,17698121313841696159,10559614117295400424,-939.567,3154550.0,3726730.0,1205130231433204492,"0.362518,0.362304,0.362061","47.3903,47.4184,47.4502"
sm80,official_cutlass,2048,2048,2048,0.355254,48.3593,0.0,17698121313841696159,10559614117295400424,-939.567,3154550.0,3726730.0,1205130231433204492,"0.35512,0.355338,0.355254","48.3776,48.348,48.3593"
sm80,autopartitioner,4096,4096,4096,2.89177,47.5277,0.0,4385683333153854596,3928385288868267123,-6861.23,17846000.0,29817700.0,11748268076890895419,"2.88048,2.89177,2.90513","47.7139,47.5277,47.3091"
sm80,official_cutlass,4096,4096,4096,2.8135,48.8499,0.0,4385683333153854596,3928385288868267123,-6861.23,17846000.0,29817700.0,11748268076890895419,"2.81883,2.8135,2.81232","48.7575,48.8499,48.8703"
sm80,autopartitioner,8192,8192,8192,41.4041,26.5556,0.0,10473616633057481402,17485738975420865771,16835.4,100976000.0,238649000.0,3774846614548034277,"41.4083,41.4033,41.4041","26.5529,26.5562,26.5556"
sm80,official_cutlass,8192,8192,8192,41.453,26.5243,0.0,10473616633057481402,17485738975420865771,16835.4,100976000.0,238649000.0,3774846614548034277,"41.4547,41.453,41.4495","26.5232,26.5243,26.5266"
